Date, Stock Price, Option Price, Implied Volatility, Delta, Hedging Error, PNL, PNL(with hedge)
2011-07-05, 532.44, 44.2, 0.264556, 0.722577, 0, 0, 0
2011-07-06, 535.36, 46.9, 0.273632, 0.733253, -0.592644, -2.7, -0.592644
2011-07-07, 546.6, 55.3, 0.273396, 0.787512, -0.160839, -11.1, -0.753487
2011-07-08, 531.99, 43.95, 0.271265, 0.719361, -0.158524, 0.25, -0.912017
2011-07-11, 527.28, 41, 0.281972, 0.691443, -0.440474, 3.2, -1.3525
2011-07-12, 534.01, 46.4, 0.292194, 0.722704, -0.748772, -2.2, -2.10128
2011-07-13, 538.26, 49.3, 0.29166, 0.745007, 0.169069, -5.1, -1.93222
2011-07-14, 528.94, 41.15, 0.275593, 0.706868, 1.2043, 3.05, -0.727934
2011-07-15, 597.62, 99.65, 0.284146, 0.940694, -9.95431, -55.45, -10.6822
2011-07-18, 594.94, 97.65, 0.307212, 0.926341, -0.523814, -53.45, -11.2061
2011-07-19, 602.55, 103.8, 0.271484, 0.960156, 0.896756, -59.6, -10.3094
2011-07-20, 595.35, 97.8, 0.304467, 0.931833, -0.916328, -53.6, -11.2258
2011-07-21, 606.99, 108.15, 0.279129, 0.964161, 0.493087, -63.95, -10.7328
2011-07-22, 618.23, 118.7, 0.250741, 0.98591, 0.283383, -74.5, -10.4495
2011-07-25, 618.98, 119.95, 0.301368, 0.971417, -0.514463, -75.75, -10.9641
2011-07-26, 622.52, 123.25, 0.292907, 0.97842, 0.134997, -79.05, -10.8292
2011-07-27, 607.22, 108.65, 0.309643, 0.957586, -0.373868, -64.45, -11.2031
2011-07-28, 610.94, 112.1, 0.306203, 0.964896, 0.108279, -67.9, -11.0949
2011-07-29, 603.69, 106.8, 0.37266, 0.924679, -1.69947, -62.6, -12.7945
